Category,2016_Type,2016_Name,2016_Label,2022_Type,2022_Name,2022_Label,Mapping_Status
## 1. GENERAL QUESTIONS (All Ages),get start time,start-time,Start,get start time,start-time,Start,Mapped
## 1. GENERAL QUESTIONS (All Ages),get end time,end,End,get end time,end,End,Mapped
## 1. GENERAL QUESTIONS (All Ages),get today,today,Today,get today,today,Today,Mapped
## 1. GENERAL QUESTIONS (All Ages),get device id,deviceid,Device ID,get device id,deviceid,Device ID,Mapped
## 1. GENERAL QUESTIONS (All Ages),phonenumber,phonenumber,PhoneNumber,phonenumber,phonenumber,PhoneNumber,Mapped
## 1. GENERAL QUESTIONS (All Ages),-,-,-,audit,audit,-,NEW
## 1. GENERAL QUESTIONS (All Ages),begin group,intro,Introduction,begin group,intro,Introduction,Mapped
## 1. GENERAL QUESTIONS (All Ages),note,welcome,Welcome to WHO VA 1.5.3 TZ,note,welcome,Welcome to WHO VA 2022 TZ,Mapped
## 1. GENERAL QUESTIONS (All Ages),text,D2SN,Death Notification Number,text,D2SN,Death Notification Number,Mapped
## 1. GENERAL QUESTIONS (All Ages),end group,-,-,end group,-,-,Mapped
## 1. GENERAL QUESTIONS (All Ages),begin group,Id10010_group,Interviewer Identification,begin group,Interviewer,VA interviewer,Mapped
## 1. GENERAL QUESTIONS (All Ages),text,Id10010,Name of VA interviewer,text,Id10010,Name of VA interviewer,Mapped
## 1. GENERAL QUESTIONS (All Ages),text,Id10010Phone,Phone number of VA interviewer,-,-,-,REMOVED
## 1. GENERAL QUESTIONS (All Ages),integer,Id10010a,Age of VA interviewer,integer,Id10010a,Age of VA interviewer,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one select_2,Id10010b,Sex of VA interviewer,select_one select_2,Id10010b,Sex of VA interviewer,Mapped
## 1. GENERAL QUESTIONS (All Ages),text,Id10010c,ID of VA interviewer,text,Id10010c,ID of VA interviewer,Mapped
## 1. GENERAL QUESTIONS (All Ages),-,-,-,select_one language,language,Interview language,NEW
## 1. GENERAL QUESTIONS (All Ages),today,Id10012,Date of the interview,today,Id10012,Date of the interview,Mapped
## 1. GENERAL QUESTIONS (All Ages),end group,-,-,end group,-,-,Mapped
## 1. GENERAL QUESTIONS (All Ages),begin group,presets,Preset HIV-Malaria,begin group,presets,Preset HIV-Malaria,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one HIGH_LOW_VERY,Id10002,HIV/AIDS mortality region,select_one HIGH_LOW_VERY,Id10002,HIV/AIDS mortality region,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one HIGH_LOW_VERY,Id10003,Malaria mortality region,select_one HIGH_LOW_VERY,Id10003,Malaria mortality region,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one select_58,Id10004,Season of death,select_one select_58,Id10004,Season of death,Mapped
## 1. GENERAL QUESTIONS (All Ages),end group,-,-,end group,-,-,Mapped
## 1. GENERAL QUESTIONS (All Ages),begin group,respondent_backgr,Respondent information,begin group,respondent_backgr,Respondent information,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one region,Id10005R,Region,select_one region,Id10005R,Region,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one district,Id10005D,District,select_one district,Id10005D,District,Mapped
## 1. GENERAL QUESTIONS (All Ages),text,Id10005Dother,Other District,text,Id10005Dother,Other District,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one ward,Id10005W,Ward,select_one ward,Id10005W,Ward,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one shehia,Id10005S,Shehia,select_one shehia,Id10005S,Shehia,Mapped
## 1. GENERAL QUESTIONS (All Ages),text,Id10005V,Village/street,text,Id10005V,Village/street,Mapped
## 1. GENERAL QUESTIONS (All Ages),end group,-,-,end group,-,-,Mapped
## 1. GENERAL QUESTIONS (All Ages),begin group,Id10007_group,Respondent Identification,begin group,respondent_backgr1,Respondent Identification,Mapped
## 1. GENERAL QUESTIONS (All Ages),text,Id10007,Name of respondent,text,Id10007,Name of respondent,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one select_2,Id10007a,Sex of respondent,select_one select_2,Id10007a,Sex of respondent,Mapped
## 1. GENERAL QUESTIONS (All Ages),integer,Id10007b,Age of respondent,integer,Id10007b,Age of respondent,Mapped
## 1. GENERAL QUESTIONS (All Ages),text,Id10007Phone,Phone number,text,Id10007Phone,Phone number,Mapped
## 1. GENERAL QUESTIONS (All Ages),end group,-,-,end group,-,-,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one select_32,Id10008,Relationship to deceased,select_one select_32,Id10008,Relationship to deceased,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one YES_NO_DK_REF,Id10009,Lived with deceased,select_one YES_NO_DK_REF,Id10009,Lived with deceased,Mapped
## 1. GENERAL QUESTIONS (All Ages),select_one YES_NO,Id10013,Respondent gave consent,select_one YES_NO,Id10013,Respondent gave consent,Mapped
## 1. GENERAL QUESTIONS (All Ages),start,Id10011,Start time,start,Id10011,Start time,Mapped
## 1. GENERAL QUESTIONS (All Ages),begin group,consented,Consent obtained,begin group,consented,Skip if not consented,Mapped
## 1. GENERAL QUESTIONS (All Ages),begin group,deceased_CRVS,Deceased information,begin group,deceased_CRVS,Deceased information,Mapped
## 2. DECEASED INFORMATION (All Ages),begin group,info_on_deceased,Deceased info,begin group,info_on_deceased,Deceased info,Mapped
## 2. DECEASED INFORMATION (All Ages),begin group,Id10017_group,Deceased ID,begin group,info_on_deceased1,Deceased ID,Mapped
## 2. DECEASED INFORMATION (All Ages),text,Id10017,First name,text,Id10017,First name,Mapped
## 2. DECEASED INFORMATION (All Ages),text,Id10018,Surname,text,Id10018,Surname,Mapped
## 2. DECEASED INFORMATION (All Ages),select_one select_2,Id10019,Sex of deceased,select_one select_2,Id10019,Sex of deceased,Mapped
## 2. DECEASED INFORMATION (All Ages),end group,-,-,end group,-,-,Mapped
## 2. DECEASED INFORMATION (All Ages),select_one YES_NO_REF,Id10020,DOB known,select_one YES_NO_REF,Id10020,DOB known,Mapped
## 2. DECEASED INFORMATION (All Ages),date,Id10021,Date of birth,date,Id10021,Date of birth,Mapped
## 2. DECEASED INFORMATION (All Ages),select_one YES_NO_REF,Id10022,DOD known,select_one YES_NO_REF,Id10022,DOD known,Mapped
## 2. DECEASED INFORMATION (All Ages),date,Id10023_a,DOD (with DOB),date,Id10023_a,DOD (with DOB),Mapped
## 2. DECEASED INFORMATION (All Ages),date,Id10023_b,DOD (without DOB),date,Id10023_b,DOD (without DOB),Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,Id10023,DOD (calculated),calculate,Id10023,DOD (calculated),Mapped
## 2. DECEASED INFORMATION (All Ages),date,Id10024,Year of death,date,Id10024,Year of death,Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,ageInDays,Age in Days,calculate,ageInDays,Age in Days,Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,ageInDays2,Age in Days (alt),calculate,ageInDays2,Age in Days (alt),Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,ageInYears,Age in Years,calculate,ageInYears,Age in Years,Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,ageInYearsRemain,Years remainder,calculate,ageInYearsRemain,Years remainder,Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,ageInMonths,Age in Months,calculate,ageInMonths,Age in Months,Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,ageInMonthsRemain,Months remainder,calculate,ageInMonthsRemain,Months remainder,Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,isNeonatal1,Is Neonate (calc),calculate,isNeonatal1,Is Neonate (calc),Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,isChild1,Is Child (calc),calculate,isChild1,Is Child (calc),Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,isAdult1,Is Adult (calc),calculate,isAdult1,Is Adult (calc),Mapped
## 2. DECEASED INFORMATION (All Ages),note,displayAgeNeonate,Age display - Neonate,note,displayAgeNeonate,Age display - Neonate,Mapped
## 2. DECEASED INFORMATION (All Ages),note,displayAgeChild,Age display - Child,note,displayAgeChild,Age display - Child,Mapped
## 2. DECEASED INFORMATION (All Ages),note,displayAgeAdult,Age display - Adult,note,displayAgeAdult,Age display - Adult,Mapped
## 2. DECEASED INFORMATION (All Ages),select_one age_group,age_group,Age group,select_one age_group,age_group,Age group,Mapped
## 2. DECEASED INFORMATION (All Ages),integer,age_neonate_days,Neonate days,integer,age_neonate_days,Neonate days,Mapped
## 2. DECEASED INFORMATION (All Ages),-,-,-,integer,age_neonate_hours,Neonate hours,NEW
## 2. DECEASED INFORMATION (All Ages),select_one units,age_child_unit,Child age unit,select_one unitsc,age_child_unit,Child age unit,Mapped
## 2. DECEASED INFORMATION (All Ages),integer,age_child_days,Child days,integer,age_child_days,Child days,Mapped
## 2. DECEASED INFORMATION (All Ages),integer,age_child_months,Child months,integer,age_child_months,Child months,Mapped
## 2. DECEASED INFORMATION (All Ages),integer,age_child_years,Child years,integer,age_child_years,Child years,Mapped
## 2. DECEASED INFORMATION (All Ages),integer,age_adult,Adult years,integer,age_adult,Adult years,Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,ageInMonthsByYear,Age in Months,calculate,ageInMonthsByYear,Age in Months,Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,ageInYears2,Age in Years,calculate,ageInYears2,Age in Years,Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,isNeonatal2,Is Neonate (manual),calculate,isNeonatal2,Is Neonate (manual),Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,isChild2,Is Child (manual),calculate,isChild2,Is Child (manual),Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,isAdult2,Is Adult (manual),calculate,isAdult2,Is Adult (manual),Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,isNeonatal,Is Neonate (final),calculate,isNeonatal,Is Neonate (final),Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,isChild,Is Child (final),calculate,isChild,Is Child (final),Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,isAdult,Is Adult (final),calculate,isAdult,Is Adult (final),Mapped
## 2. DECEASED INFORMATION (All Ages),calculate,ageInDaysNeonate,Age days (neonate),calculate,ageInDaysNeonate,Age days (neonate),Mapped
## 2. DECEASED INFORMATION (All Ages),note,Id10008_check,Relationship check,note,Id10008_check,Relationship check,Mapped
## 2. DECEASED INFORMATION (All Ages),select_one select_18,Id10058,Place of death,select_one select_18,Id10058,Place of death,Mapped
## 2. DECEASED INFORMATION (All Ages),text,Id10058name,Facility name,-,-,-,REMOVED
## 2. DECEASED INFORMATION (All Ages),text,Id10058Other,Other specify,text,Id10058_other,Other specify,Mapped
## 2. DECEASED INFORMATION (All Ages),select_one YES_NO,Id10058b,Body taken to facility,-,-,-,REMOVED
## 2. DECEASED INFORMATION (All Ages),text,Id10058c,Which facility,-,-,-,REMOVED
## 2. DECEASED INFORMATION (All Ages),select_one YES_NO,Id10051,Additional demographics,select_one YES_NO,Id10051,Additional demographics,Mapped
## 3. DEMOGRAPHIC DETAILS (General),select_one select_500,Id10052,Citizenship,select_one select_500,Id10052,Citizenship,Mapped
## 3. DEMOGRAPHIC DETAILS (General),text,Id10053,Ethnicity,text,Id10053,Ethnicity,Mapped
## 3. DEMOGRAPHIC DETAILS (General),begin group,Id10054_group,Place of birth,begin group,Id10054_group,Place of birth,Mapped
## 3. DEMOGRAPHIC DETAILS (General),select_one region,Id10054R,Region of birth,select_one region,Id10054R,Region of birth,Mapped
## 3. DEMOGRAPHIC DETAILS (General),select_one district,Id10054D,District of birth,select_one district,Id10054D,District of birth,Mapped
## 3. DEMOGRAPHIC DETAILS (General),text,Id10054D_other,Other district,text,Id10054D_other,Other district,Mapped
## 3. DEMOGRAPHIC DETAILS (General),select_one shehia,Id10054S,Shehia of birth,select_one shehia,Id10054S,Shehia of birth,Mapped
## 3. DEMOGRAPHIC DETAILS (General),text,Id10054V,Village of birth,text,Id10054V,Village of birth,Mapped
## 3. DEMOGRAPHIC DETAILS (General),end group,-,-,end group,-,-,Mapped
## 3. DEMOGRAPHIC DETAILS (General),text,Id10055,Place of residence,text,Id10055,Place of residence,Mapped
## 3. DEMOGRAPHIC DETAILS (General),select_one death_where,Id10057,Death occurred where,select_one death_where,Id10057,Death occurred where,Mapped
## 3. DEMOGRAPHIC DETAILS (General),begin group,Id10057_group,Within country,begin group,Id10057_group,Within country,Mapped
## 3. DEMOGRAPHIC DETAILS (General),select_one region,Id10057R,Region of death,select_one region,Id10057R,Region of death,Mapped
## 3. DEMOGRAPHIC DETAILS (General),select_one district,Id10057D,District of death,select_one district,Id10057D,District of death,Mapped
## 3. DEMOGRAPHIC DETAILS (General),text,Id10057D_other,Other district,text,Id10057D_other,Other district,Mapped
## 3. DEMOGRAPHIC DETAILS (General),select_one shehia,Id10057S,Shehia of death,select_one shehia,Id10057S,Shehia of death,Mapped
## 3. DEMOGRAPHIC DETAILS (General),text,Id10057V,Village of death,text,Id10057V,Village of death,Mapped
## 3. DEMOGRAPHIC DETAILS (General),end group,-,-,end group,-,-,Mapped
## 3. DEMOGRAPHIC DETAILS (General),text,Id10057_death_outside,Death outside country,text,Id10057_death_outside,Death outside country,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one select_19,Id10059,Marital status,select_one select_19,Id10059,Marital status,Mapped
